"inversion","midpoint","gbk_midpoint","HNS_binding"
"1",1,573882,0,1
"3",1,894864.5,50000,1
"5",1,1126069.5,100000,1
"15",1,1136016.5,150000,1
"26",1,1232748,200000,1
"30",1,1249356.5,250000,1
"33",1,1262954.5,300000,1
"45",1,1321386,350000,1
"53",1,1338719,400000,1
"58",1,1658504,450000,1
"69",1,1750635,500000,1
"77",1,1760042.5,550000,1
"85",1,1942647.5,573882,1
"90",1,1967932,600000,1
"94",1,1974172,650000,1
"99",1,2793684.5,700000,1
"110",1,2802542,750000,1
"114",1,2849501,800000,1
"127",1,2895377.5,850000,1
"140",1,2938851,894864.5,1
"153",1,3004550,900000,1
"160",1,3028713.5,950000,1
"179",1,3051452,1000000,1
"186",1,3143490.5,1050000,1
"194",1,3263047,1100000,1
"201",1,3284045,1126069.5,1
"206",1,3598167.5,1136016.5,1
"216",1,3613867.5,1150000,1
"227",1,3659931,1200000,1
"234",1,3688164,1232748,1
"247",1,3704304.5,1249356.5,1
"253",1,3775664.5,1250000,1
"331",1,0,1262954.5,1
"34",1,50000,1300000,1
"35",1,100000,1321386,1
"36",1,150000,1338719,1
"37",1,200000,1350000,1
"38",1,250000,1400000,1
"39",1,300000,1450000,1
"40",1,350000,1500000,1
"41",1,400000,1550000,1
"42",1,450000,1600000,1
"43",1,500000,1650000,1
"44",1,550000,1658504,1
"451",1,600000,1700000,1
"46",1,650000,1750000,1
"47",1,700000,1750635,1
"48",1,750000,1760042.5,1
"49",1,800000,1800000,1
"50",1,850000,1850000,1
"51",1,900000,1900000,1
"52",1,950000,1942647.5,1
"531",1,1000000,1950000,1
"54",1,1050000,1967932,1
"55",1,1100000,1974172,1
"56",1,1150000,2000000,1
"57",1,1200000,2050000,1
"581",1,1250000,2100000,1
"59",1,1300000,2150000,1
"60",1,1350000,2200000,1
"61",1,1400000,2250000,1
"62",1,1450000,2300000,1
"63",1,1500000,2350000,1
"64",1,1550000,2400000,1
"65",1,1600000,2450000,1
"66",1,1650000,2500000,1
"67",1,1700000,2550000,1
"68",1,1750000,2600000,1
"691",1,1800000,2650000,1
"70",1,1850000,2700000,1
"71",1,1900000,2750000,1
"72",1,1950000,2793684.5,1
"73",1,2000000,2800000,1
"74",1,2050000,2802542,1
"75",1,2100000,2849501,1
"76",1,2150000,2850000,1
"771",1,2200000,2895377.5,1
"78",1,2250000,2900000,1
"79",1,2300000,2938851,1
"80",1,2350000,2950000,1
"81",1,2400000,3000000,1
"82",1,2450000,3004550,1
"83",1,2500000,3028713.5,1
"84",1,2550000,3050000,1
"851",1,2600000,3051452,1
"86",1,2650000,3100000,1
"87",1,2700000,3143490.5,1
"88",1,2750000,3150000,1
"89",1,2800000,3200000,1
"901",1,2850000,3250000,1
"91",1,2900000,3263047,1
"92",1,2950000,3284045,1
"93",1,3000000,3300000,1
"941",1,3050000,3350000,1
"95",1,3100000,3400000,1
"96",1,3150000,3450000,1
"97",1,3200000,3500000,1
"98",1,3250000,3550000,1
"991",1,3300000,3598167.5,1
"100",1,3350000,3600000,1
"101",1,3400000,3613867.5,1
"102",1,3450000,3650000,1
"103",1,3500000,3659931,1
"104",1,3550000,3688164,1
"105",1,3600000,3700000,1
"106",1,3650000,3704304.5,1
"107",1,3700000,3750000,1
"108",1,3750000,3775664.5,1
"109",1,3800000,3800000,1
"1101",1,3850000,3850000,1
"111",1,3900000,3900000,1
"112",1,3950000,3950000,1
"113",1,4000000,4000000,1
"1141",1,4050000,4050000,1
"115",1,4100000,4100000,1
"116",1,4150000,4150000,1
"117",1,4200000,4200000,1
"118",1,4250000,4250000,1
"119",1,4300000,4300000,1
"120",1,4350000,4350000,1
"121",1,4400000,4400000,1
"122",1,4450000,4450000,1
"123",1,4500000,4500000,1
"124",1,4550000,4550000,1
"125",1,4600000,4600000,1
"126",1,4650000,4650000,1
"1271",1,4700000,4700000,1
"128",1,4750000,4750000,1
"129",1,4800000,4800000,1
"130",1,4850000,4850000,1
"131",1,4900000,4900000,1
"132",1,4950000,4950000,1
"133",1,5000000,5000000,1
"134",1,5050000,5050000,1
"135",1,5100000,5100000,1
"136",1,5150000,5150000,1
