"gbk_midpoint","HNS_binding"
"1",0,1
"2",18072,1
"3",32427,1
"4",34497,1
"5",35769,1
"6",37047,1
"7",42788,1
"8",82743,1
"9",84840,1
"10",86492,1
"11",100000,1
"12",151301,1
"13",156591,1
"14",157492,1
"15",179995,1
"16",200000,1
"17",234404,1
"18",251425,1
"19",252935,1
"20",259572,1
"21",260939,1
"22",300000,1
"23",305995,1
"24",312645,1
"25",321967,1
"26",324105,1
"27",326412,1
"28",332915,1
"29",334773,1
"30",335582,1
"31",336356,1
"32",343408,1
"33",346001,1
"34",346621,1
"35",347650,1
"36",394817,1
"37",395708,1
"38",400000,1
"39",400376,1
"40",402454,1
"41",408319,1
"42",409563,1
"43",411889,1
"44",451136,1
"45",452807,1
"46",479642,1
"47",480199,1
"48",486084,1
"49",500000,1
"50",536098,1
"51",537025,1
"52",538360,1
"53",539827,1
"54",541215,1
"55",542460,1
"56",544674,1
"57",545838,1
"58",547513,1
"59",587536,1
"60",597297,1
"61",598090,1
"62",600000,1
"63",604039,1
"64",616097,1
"65",618820,1
"66",635061,1
"67",637167,1
"68",638200,1
"69",653064,1
"70",661957,1
"71",683944,1
"72",700000,1
"73",706925,1
"74",800000,1
"75",800098,1
"76",804633,1
"77",820236,1
"78",821149,1
"79",848659,1
"80",849653,1
"81",874153,1
"82",875999,1
"83",888976,1
"84",890277,1
"85",900000,1
"86",917302,1
"87",954037,1
"88",1000000,1
"89",1005273,1
"90",1051069,1
"91",1051567,1
"92",1052825,1
"93",1063315,1
"94",1066205,1
"95",1067410,1
"96",1085524,1
"97",1100000,1
"98",1101267,1
"99",1102346,1
"100",1102871,1
"101",1104178,1
"102",1104674,1
"103",1105127,1
"104",1106086,1
"105",1117333,1
"106",1118188,1
"107",1118763,1
"108",1120027,1
"109",1121364,1
"110",1179995,1
"111",1182306,1
"112",1200000,1
"113",1224412,1
"114",1225732,1
"115",1226784,1
"116",1227860,1
"117",1229045,1
"118",1246527,1
"119",1271299,1
"120",1291911,1
"121",1292715,1
"122",1293835,1
"123",1298921,1
"124",1300000,1
"125",1301997,1
"126",1303359,1
"127",1310717,1
"128",1314339,1
"129",1332346,1
"130",1334342,1
"131",1342821,1
"132",1343219,1
"133",1343971,1
"134",1345749,1
"135",1369846,1
"136",1382399,1
"137",1383462,1
"138",1394033,1
"139",1395406,1
"140",1397493,1
"141",1400000,1
"142",1407179,1
"143",1435402,1
"144",1436326,1
"145",1445779,1
"146",1446043,1
"147",1500000,1
"148",1501858,1
"149",1502791,1
"150",1512226,1
"151",1517475,1
"152",1522014,1
"153",1533566,1
"154",1546728,1
"155",1556172,1
"156",1556840,1
"157",1568163,1
"158",1573804,1
"159",1580211,1
"160",1581683,1
"161",1583306,1
"162",1585346,1
"163",1587277,1
"164",1600000,1
"165",1620687,1
"166",1626357,1
"167",1630183,1
"168",1656464,1
"169",1657102,1
"170",1671530,1
"171",1672984,1
"172",1673318,1
"173",1692218,1
"174",1693576,1
"175",1697656,1
"176",1698666,1
"177",1700000,1
"178",1703788,1
"179",1705470,1
"180",1706057,1
"181",1720607,1
"182",1752779,1
"183",1754164,1
"184",1755036,1
"185",1756404,1
"186",1757539,1
"187",1769630,1
"188",1770793,1
"189",1771678,1
"190",1773144,1
"191",1774222,1
"192",1775065,1
"193",1776384,1
"194",1777771,1
"195",1778845,1
"196",1779999,1
"197",1790526,1
"198",1792499,1
"199",1800000,1
"200",1801606,1
"201",1806834,1
"202",1808226,1
"203",1817824,1
"204",1819026,1
"205",1819630,1
"206",1821459,1
"207",1825382,1
"208",1826439,1
"209",1852207,1
"210",1854475,1
"211",1856454,1
