"","gene_id","gene_name","description","locus","ATCC2_FPKM","ATCC3_FPKM","sp1_FPKM","sp2_FPKM","ATCC2_count","ATCC3_count","sp1_count","sp2_count","norm1","norm2","count","ATCC_GSE94978"
"1","DR76_RS00005","-","nucleoside transporter","NZ_CP009072.1:1-1278",4.3001540646245,5.72667766011993,4.43865321585361,5.73093326018115,107,208,95,139,5.49559225252976,7.31870486087617,6.40714855670296,1
"2","DR76_RS00010","-","hypothetical protein","NZ_CP009072.1:1275-2279",6.54145118522016,12.1138286622987,8.02096621292687,7.34013138089554,128,346,135,140,6.57416643293279,12.174384047419,9.3742752401759,1
"3","DR76_RS00015","-","sugar kinase","NZ_CP009072.1:2276-3241",11.75024108233,15.1526064593987,9.33382201754659,10.5819291641866,221,416,151,194,11.3507092318605,14.6374097217523,12.9940594768064,1
"4","DR76_RS00020","-","putative DNA-binding transcriptional regulator","NZ_CP009072.1:3215-3961",61.055270275448,36.2223518479885,22.9414044709089,27.2980513497549,888,769,287,387,45.6082796284713,27.0580963366047,36.333187982538,1
"5","DR76_RS00025","-","lysozyme","NZ_CP009072.1:4013-4831",10.0965381698287,11.7716507668557,3.20798248413071,3.98882740020196,161,274,44,62,8.26906871642328,9.64098621096188,8.95502746369258,1
"6","DR76_RS00030","-","bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase","NZ_CP009072.1:4896-5696",61.5558602385674,74.1938536336466,49.3496540973941,36.7064581077106,960,1689,662,558,49.3062482469959,59.429290913557,54.3677695802765,1
"7","DR76_RS00035","-","hydroxyethylthiazole kinase","NZ_CP009072.1:5693-6481",106.171438402977,104.175776273193,40.3375158663877,40.8710279130891,1631,2336,533,612,83.7692613446358,82.1946853606093,82.9819733526226,1
"8","DR76_RS00040","-","transcriptional repressor RcnR","NZ_CP009072.1:6704-6976",183.807305866361,46.5281060171274,124.672723500721,165.602029350204,977,361,570,858,50.1793797263698,12.7021752633476,31.4407774948587,1
"9","DR76_RS00045","-","nickel/cobalt efflux system RcnA","NZ_CP009072.1:7097-7921",86.9707253365113,10.2786095564853,75.345190478338,93.1842611885492,1397,241,1041,1459,71.7508633344306,8.47984553591903,40.1153544351748,1
"10","DR76_RS00050","-","nickel/cobalt homeostasis protein RcnB","NZ_CP009072.1:8140-8478",306.952053564502,161.19173610169,254.170727255427,260.193732676034,2026,1553,1443,1674,104.056728071264,54.6439838891379,79.3503559802012,1
